genes,logFC,logCPM,F,PValue,FDR
augustus_masked-scaffold54-size515352-abinit-gene-1.5,-2.04717459104326,5.99710252802053,37.5436430480391,6.29187202893772e-05,0.00481586073821479
maker-scaffold300-size151442-snap-gene-1.25,-1.13092420786602,4.91733887678724,36.7397261899876,6.3652189979863e-05,0.00483239146367448
maker-scaffold2705-size40363-snap-gene-0.9,0.617080171114508,8.74387015588993,36.6120906329202,6.46628435472078e-05,0.00484811191239787
maker-scaffold118-size51397-snap-gene-0.7,0.766199930146859,6.47658343485669,36.5276033660249,6.53421877983948e-05,0.00484811191239787
maker-scaffold3352-size17390-augustus-gene-0.2,1.01345157981494,5.22578896875423,36.5116697565661,6.54712424462893e-05,0.00484811191239787
augustus_masked-scaffold44-size107355-abinit-gene-0.5,-0.761365556740961,6.98509013256573,36.4545945098696,6.59359833877201e-05,0.00484811191239787
maker-scaffold669-size102525-augustus-gene-0.61,-0.645633254290688,6.27122056806184,36.3446816490202,6.68419001120818e-05,0.00487632549411422
maker-scaffold74-size76869-augustus-gene-0.28,-0.871326889859467,6.30953741008691,36.0894602720172,6.90023422460517e-05,0.00499491373560954
augustus_masked-scaffold472-size153788-abinit-gene-0.2,-1.91420737567822,2.31929912267379,35.8818747336672,7.08200903655319e-05,0.00508706156794875
maker-scaffold2705-size40363-snap-gene-0.10,1.33031369812642,5.71343318091882,35.7481408470942,7.23538517905204e-05,0.00513932670681653
maker-scaffold1901-size11499-snap-gene-0.9,0.745075523757424,9.27946551014654,35.6792861357814,7.2648439205374e-05,0.00513932670681653
maker-scaffold810-size72001-augustus-gene-0.28,-2.62024995060018,7.23954837108405,36.1953690103722,7.40727965579491e-05,0.00520069003201601
maker-scaffold513-size69722-snap-gene-0.28,4.85442649440387,6.20950100391608,35.8736099801126,7.70687717099835e-05,0.00537065813602855
maker-scaffold811-size79825-augustus-gene-0.38,-1.01239338185256,6.89094928525588,35.1072347366655,7.81176753039331e-05,0.00537729274944429
maker-scaffold219-size92860-augustus-gene-0.19,-1.35825465773662,7.25257355547925,35.6060740042766,7.8315679366505e-05,0.00537729274944429
maker-scaffold35-size133594-augustus-gene-1.20,0.917675063433893,5.44730627792971,34.7747986332527,8.15175467644347e-05,0.00551982743129071
maker-scaffold4705-size6620-augustus-gene-0.4,-1.24059459813947,7.42575239408561,34.9987115042612,8.1573804403311e-05,0.00551982743129071
maker-scaffold1119-size19796-augustus-gene-0.6,1.06553350590357,6.9768962271746,34.683968861331,8.24764520161071e-05,0.00554075617932668
augustus_masked-scaffold787-size133522-abinit-gene-0.3,-1.36776024007904,9.82201044541232,35.0220638452829,8.34560752964087e-05,0.00556652022227046
maker-scaffold2265-size22680-snap-gene-0.3,1.064750656236,7.66728386016459,34.4616792348592,8.48795279064647e-05,0.00562131228078417
maker-scaffold634-size151341-augustus-gene-1.22,-0.738041849247116,7.22673601029031,34.3516503547382,8.60993267204336e-05,0.00562731985032562
maker-scaffold1832-size20035-snap-gene-0.17,-0.979716760460087,6.71381278783576,34.3448408120435,8.61754913896513e-05,0.00562731985032562
augustus_masked-scaffold37-size67411-abinit-gene-0.7,-0.677291220403922,4.97235572561827,34.1603812071817,8.82690399049611e-05,0.005645892140005
maker-scaffold845-size43869-snap-gene-0.11,0.631344459216721,9.04248025199059,34.1353939576979,8.85571981042578e-05,0.005645892140005
maker-scaffold1070-size36888-augustus-gene-0.18,0.758667037623635,5.72764998931299,34.1286222549668,8.86354806502558e-05,0.005645892140005
maker-scaffold1868-size11786-snap-gene-0.2,-0.882572136500083,8.21712265064407,34.107656745612,8.88783620240667e-05,0.005645892140005
maker-scaffold7-size116099-snap-gene-1.16,0.601468463477612,5.54350342894316,33.9490075138074,9.07417932417263e-05,0.00568630888695934
maker-scaffold59-size152908-augustus-gene-0.26,0.60994988613623,5.66329505771184,33.9396539622759,9.0853078837882e-05,0.00568630888695934
augustus_masked-scaffold870-size118458-abinit-gene-1.0,-2.15277706571853,7.76072283157966,34.4567551366512,9.20802028318349e-05,0.00568630888695934
maker-scaffold1008-size69378-augustus-gene-0.30,-1.06132027303727,7.43346893775181,33.7569723571543,9.30589843195445e-05,0.00568630888695934
maker-scaffold119-size100513-augustus-gene-0.41,0.853498768944876,6.39877478494002,33.7494968848342,9.3150580775611e-05,0.00568630888695934
augustus_masked-scaffold551-size59772-abinit-gene-0.0,-1.74911193362372,2.62138449678528,33.7480546028141,9.31682651215228e-05,0.00568630888695934
maker-scaffold2197-size32082-snap-gene-0.17,0.64174282039184,7.44587076679073,33.4610427597485,9.67670938246132e-05,0.00586760468918337
maker-scaffold257-size144893-augustus-gene-0.39,-0.710342731138611,7.69683171251061,33.3572437597841,9.81085821944966e-05,0.00589936186435363
augustus_masked-scaffold961-size67484-abinit-gene-0.2,0.797745401471257,7.06243890001066,33.3230125552143,9.85557556263791e-05,0.00589936186435363
augustus_masked-scaffold1035-size48451-abinit-gene-0.1,-1.156939195002,5.29896427119534,33.2145447729431,9.99885714925999e-05,0.00589936186435363
augustus_masked-scaffold845-size43869-abinit-gene-0.0,-0.788748779145807,8.84852893514692,33.1300123807542,0.000101122162188689,0.00589936186435363
snap_masked-scaffold5-size95213-abinit-gene-0.31,1.62737529483856,8.54108811725193,33.7054181869107,0.000101427061716829,0.00589936186435363
maker-scaffold2327-size32305-augustus-gene-0.7,2.04812032876281,6.7130460025172,33.6716569766049,0.000101872606342385,0.00589936186435363
snap_masked-scaffold1042-size18763-abinit-gene-0.6,-0.652969540858542,7.66819009068875,33.0557781803147,0.000102130095962427,0.00589936186435363
maker-scaffold567-size50249-snap-gene-0.35,-1.59152407153533,7.23472004295885,33.636058349756,0.000102344894198467,0.00589936186435363
maker-scaffold466-size49390-snap-gene-0.10,1.22778261023253,3.09197476483053,32.976109371263,0.000103224950840756,0.00591358644755201
maker-scaffold56-size75054-snap-gene-0.44,-1.42846862259617,5.65779527766983,33.295539003057,0.00010400080156888,0.00592170417713539
maker-scaffold2911-size24306-augustus-gene-0.4,-1.05880903514764,6.7261354546999,32.7582277286688,0.00010629020918332,0.00601538165668995
maker-scaffold430-size34004-augustus-gene-0.16,0.649045506435839,7.49559650423741,32.63451437084,0.000108078138668757,0.00607972083667983
maker-scaffold1241-size49241-snap-gene-0.11,1.47853443191355,8.37981192397402,33.1181672266888,0.000109515653944921,0.00612369566789025
maker-scaffold844-size65986-augustus-gene-0.9,-0.861198988458461,5.52040448983786,32.371582959407,0.000111996534052257,0.00617228534123941
snap_masked-scaffold1119-size19796-abinit-gene-0.3,1.31744542634638,5.24136613725261,32.3704308230555,0.000112014066992534,0.00617228534123941
maker-scaffold609-size49904-augustus-gene-0.24,-0.658742174419356,7.470906360523,32.3472452275966,0.000112367584922971,0.00617228534123941
snap_masked-scaffold44-size107355-abinit-gene-0.25,0.709418110475128,6.13143060872569,32.1954955554641,0.000114713932564138,0.00619044997610068
augustus_masked-scaffold1122-size26204-abinit-gene-0.0,-1.43700363847427,3.83472404917956,32.1278818304789,0.000115777844763259,0.00619044997610068
augustus_masked-scaffold158-size227332-abinit-gene-1.1,-0.829077954610072,6.20154789182979,32.1198265821514,0.000115905365024125,0.00619044997610068
maker-scaffold3991-size9864-augustus-gene-0.2,-2.26200276132156,8.07670682450594,32.6601653022354,0.000116353771258484,0.00619044997610068
augustus_masked-scaffold6880-size4034-abinit-gene-0.0,-1.58007178026087,5.90096282409338,32.6473730626882,0.000116551856653433,0.00619044997610068
augustus_masked-scaffold127-size85436-abinit-gene-0.12,-1.18227048645493,6.83856254800965,32.2727048223258,0.000116675861618518,0.00619044997610068
maker-scaffold824-size80661-augustus-gene-0.21,-2.54652156683084,2.55861166794009,31.8369815386172,0.000120489222315533,0.00635665738973134
augustus_masked-scaffold74-size76869-abinit-gene-0.8,-2.65661952912874,2.07623592043115,31.7162474482218,0.00012251038950214,0.00642697762455611
maker-scaffold1236-size68049-augustus-gene-0.24,0.977065389000256,4.54505365137029,31.5036633715213,0.000126166648639744,0.00658181097764205
maker-scaffold676-size113905-augustus-gene-0.23,-0.666651158931382,6.46299104740656,31.4056248000519,0.000127895848815902,0.0066349524235716
maker-scaffold287-size231392-snap-gene-1.41,-0.844493656586203,5.28852540281891,31.34855629523,0.000128915214815688,0.00665088550248008
maker-scaffold287-size231392-augustus-gene-1.35,-0.974699716815412,4.04749315743474,31.1211269298549,0.00013307337781669,0.006827687923364
maker-scaffold3032-size19911-snap-gene-0.18,-0.729110182741548,7.36639216748567,30.9830596855413,0.000135674416806977,0.00691829087491568
maker-scaffold1020-size54052-augustus-gene-0.7,1.39033083152259,5.62059202172055,31.2888594935746,0.000136321002461393,0.00691829087491568
augustus_masked-scaffold271-size67337-abinit-gene-0.7,0.511395002866923,6.0635788828524,30.7676730706421,0.000139852103365365,0.00705912941203124
maker-scaffold467-size46863-snap-gene-0.26,1.92417712473948,8.65800571640641,31.1978024438827,0.000141806326082993,0.00711928748904832
augustus_masked-scaffold1113-size55644-abinit-gene-0.1,1.46210477503541,2.82648798858514,30.6177103227257,0.000142849991671142,0.00713333273917177
augustus_masked-scaffold215-size92894-abinit-gene-0.3,-0.769863186206263,4.70494694821567,30.5546444380194,0.000144133202490701,0.00713854251428787
maker-scaffold3371-size12877-augustus-gene-0.4,1.19943937155105,6.41088190493401,30.7235426987972,0.000144483244292183,0.00713854251428787
maker-scaffold2274-size29776-snap-gene-0.12,-4.32942054494511,5.22533269899906,30.6412792265814,0.000153177283821327,0.00749449405686383
augustus_masked-scaffold1080-size18356-abinit-gene-0.1,-1.27797792582153,4.42406602283695,30.1227850011087,0.000153292821253051,0.00749449405686383
maker-scaffold2890-size8350-snap-gene-0.3,0.685095330803067,6.41903741684256,29.870886716998,0.000158950456500442,0.00768836050265543
maker-scaffold1314-size49432-augustus-gene-0.19,1.12882024829706,6.48923483028748,29.825738019187,0.00016062414844943,0.00768836050265543
snap_masked-scaffold2933-size35260-abinit-gene-0.10,-1.45171464369352,5.49414121772282,30.2025608741865,0.000160813343536471,0.00768836050265543
augustus_masked-scaffold450-size103087-abinit-gene-0.21,2.59633551793137,4.32790093879046,30.2913952692977,0.000160875645447091,0.00768836050265543
augustus_masked-scaffold1260-size49815-abinit-gene-0.0,-0.520307352870803,7.52524929769365,29.7661414701029,0.000161374883114207,0.00768836050265543
maker-scaffold1008-size69378-augustus-gene-0.28,-2.462226636618,8.63143811724138,30.1704356615161,0.000163642307299829,0.00775681150033404
augustus_masked-scaffold268-size67922-abinit-gene-0.6,-1.23991352122175,4.84004996624786,29.6042314025578,0.000165208313756962,0.00779149108011369
maker-scaffold88-size177456-snap-gene-1.39,-1.02601849619874,6.86759500138427,29.489126997511,0.000167998573366866,0.00781385267729342
augustus_masked-scaffold137-size142473-abinit-gene-1.1,0.666471056046671,6.2190457985955,29.4816326709205,0.000168182152622478,0.00781385267729342
maker-scaffold796-size154662-augustus-gene-1.6,1.14032144700003,3.78489028514778,29.4811982083501,0.000168192802327691,0.00781385267729342
